Player,Predicted_Tier,Predicted_Label,Prob_FADED,Prob_SURVIVED,Prob_THRIVED,Confidence,Actual_Tier,Actual_Label,Correct
Tim Duncan,2,THRIVED,0.192,0.272,0.536,MEDIUM,2,THRIVED,True
Manu Ginobili,2,THRIVED,0.223,0.263,0.514,MEDIUM,2,THRIVED,True
Marcus Camby,2,THRIVED,0.246,0.256,0.497,MEDIUM,2,THRIVED,True
Dirk Nowitzki,2,THRIVED,0.212,0.302,0.486,MEDIUM,2,THRIVED,True
Paul Pierce,2,THRIVED,0.153,0.36,0.486,MEDIUM,2,THRIVED,True
Ben Wallace,2,THRIVED,0.273,0.253,0.475,MEDIUM,2,THRIVED,True
Allen Iverson,2,THRIVED,0.281,0.257,0.462,MEDIUM,0,FADED,False
Kevin Garnett,2,THRIVED,0.212,0.332,0.457,MEDIUM,2,THRIVED,True
Steve Nash,2,THRIVED,0.16,0.384,0.455,MEDIUM,2,THRIVED,True
Joe Johnson,2,THRIVED,0.294,0.267,0.438,MEDIUM,0,FADED,False
Ray Allen,2,THRIVED,0.239,0.329,0.432,MEDIUM,2,THRIVED,True
David West,2,THRIVED,0.289,0.291,0.42,MEDIUM,1,SURVIVED,False
Vince Carter,2,THRIVED,0.251,0.346,0.404,MEDIUM,1,SURVIVED,False
Mike James,2,THRIVED,0.321,0.28,0.4,LOW,0,FADED,False
Zydrunas Ilgauskas,2,THRIVED,0.242,0.377,0.381,LOW,0,FADED,False
Chauncey Billups,1,SURVIVED,0.184,0.441,0.376,MEDIUM,0,FADED,False
Rasheed Wallace,0,FADED,0.368,0.288,0.344,LOW,0,FADED,True
Lamar Odom,0,FADED,0.345,0.321,0.334,LOW,0,FADED,True
Kobe Bryant,1,SURVIVED,0.236,0.431,0.333,MEDIUM,0,FADED,False
Pau Gasol,1,SURVIVED,0.217,0.45,0.333,MEDIUM,1,SURVIVED,True
Jason Terry,1,SURVIVED,0.183,0.485,0.332,MEDIUM,1,SURVIVED,True
Kyle Korver,0,FADED,0.368,0.301,0.331,LOW,0,FADED,True
Dwyane Wade,1,SURVIVED,0.262,0.411,0.327,MEDIUM,0,FADED,False
Chris Andersen,1,SURVIVED,0.322,0.352,0.326,LOW,1,SURVIVED,True
Mike Bibby,0,FADED,0.409,0.266,0.325,MEDIUM,0,FADED,True
Antonio McDyess,0,FADED,0.407,0.273,0.32,MEDIUM,1,SURVIVED,False
Peja Stojakovic,1,SURVIVED,0.286,0.406,0.308,MEDIUM,0,FADED,False
Corey Maggette,0,FADED,0.407,0.286,0.307,MEDIUM,0,FADED,True
Carlos Boozer,1,SURVIVED,0.294,0.407,0.299,MEDIUM,0,FADED,False
Zach Randolph,1,SURVIVED,0.325,0.389,0.286,LOW,0,FADED,False
Stephen Jackson,0,FADED,0.449,0.269,0.282,MEDIUM,0,FADED,True
Elton Brand,0,FADED,0.459,0.267,0.274,MEDIUM,0,FADED,True
Brevin Knight,0,FADED,0.523,0.207,0.27,MEDIUM,0,FADED,True
Luis Scola,0,FADED,0.474,0.258,0.268,MEDIUM,0,FADED,True
Brendan Haywood,0,FADED,0.439,0.296,0.266,MEDIUM,0,FADED,True
Baron Davis,0,FADED,0.469,0.275,0.256,MEDIUM,0,FADED,True
Antawn Jamison,1,SURVIVED,0.203,0.542,0.256,MEDIUM,1,SURVIVED,True
Erick Dampier,0,FADED,0.488,0.262,0.25,MEDIUM,0,FADED,True
Andre Miller,1,SURVIVED,0.254,0.496,0.25,MEDIUM,1,SURVIVED,True
Rashard Lewis,0,FADED,0.404,0.357,0.239,MEDIUM,0,FADED,True
Tony Allen,0,FADED,0.465,0.301,0.234,MEDIUM,0,FADED,True
Matt Barnes,1,SURVIVED,0.288,0.481,0.23,MEDIUM,1,SURVIVED,True
Jose Calderon,0,FADED,0.412,0.358,0.23,MEDIUM,0,FADED,True
Brad Miller,1,SURVIVED,0.368,0.404,0.229,MEDIUM,0,FADED,False
Jerry Stackhouse,0,FADED,0.52,0.251,0.229,MEDIUM,0,FADED,True
Metta World,0,FADED,0.387,0.386,0.228,LOW,0,FADED,True
Eddie House,0,FADED,0.469,0.305,0.227,MEDIUM,0,FADED,True
Shawn Marion,1,SURVIVED,0.304,0.476,0.22,MEDIUM,1,SURVIVED,True
Richard Hamilton,0,FADED,0.501,0.279,0.22,MEDIUM,0,FADED,True
Samuel Dalembert,0,FADED,0.509,0.271,0.22,MEDIUM,0,FADED,True
Jermaine O'Neal,0,FADED,0.569,0.212,0.219,MEDIUM,0,FADED,True
Matt Bonner,0,FADED,0.521,0.261,0.218,MEDIUM,0,FADED,True
Caron Butler,0,FADED,0.584,0.205,0.211,MEDIUM,0,FADED,True
Rafer Alston,1,SURVIVED,0.378,0.414,0.208,MEDIUM,0,FADED,False
Drew Gooden,0,FADED,0.601,0.194,0.205,HIGH,0,FADED,True
Kirk Hinrich,0,FADED,0.475,0.32,0.205,MEDIUM,0,FADED,True
James Posey,0,FADED,0.509,0.29,0.201,MEDIUM,0,FADED,True
Jeff McInnis,0,FADED,0.59,0.211,0.199,MEDIUM,0,FADED,True
Anthony Johnson,0,FADED,0.57,0.231,0.198,MEDIUM,0,FADED,True
Mikki Moore,0,FADED,0.574,0.231,0.195,MEDIUM,0,FADED,True
Jason Richardson,0,FADED,0.485,0.324,0.192,MEDIUM,0,FADED,True
Reggie Evans,0,FADED,0.425,0.383,0.192,MEDIUM,0,FADED,True
Derek Fisher,1,SURVIVED,0.339,0.473,0.188,MEDIUM,1,SURVIVED,True
Jeff Foster,0,FADED,0.573,0.24,0.187,MEDIUM,0,FADED,True
Richard Jefferson,1,SURVIVED,0.324,0.489,0.187,MEDIUM,1,SURVIVED,True
Tayshaun Prince,0,FADED,0.581,0.233,0.186,MEDIUM,0,FADED,True
Nick Collison,0,FADED,0.426,0.388,0.185,MEDIUM,0,FADED,True
Joe Smith,0,FADED,0.545,0.27,0.185,MEDIUM,0,FADED,True
Adrian Griffin,0,FADED,0.628,0.192,0.181,HIGH,0,FADED,True
Chucky Atkins,0,FADED,0.514,0.306,0.18,MEDIUM,0,FADED,True
Austin Croshere,0,FADED,0.556,0.264,0.18,MEDIUM,0,FADED,True
Shane Battier,1,SURVIVED,0.363,0.458,0.18,MEDIUM,0,FADED,False
Jamal Crawford,1,SURVIVED,0.265,0.556,0.179,MEDIUM,1,SURVIVED,True
Eduardo Najera,0,FADED,0.501,0.322,0.176,MEDIUM,0,FADED,True
Antonio Daniels,1,SURVIVED,0.373,0.452,0.175,MEDIUM,0,FADED,False
John Salmons,0,FADED,0.528,0.3,0.172,MEDIUM,0,FADED,True
Hedo Turkoglu,0,FADED,0.556,0.275,0.17,MEDIUM,0,FADED,True
Kenyon Martin,0,FADED,0.544,0.287,0.169,MEDIUM,0,FADED,True
Cuttino Mobley,0,FADED,0.627,0.21,0.163,HIGH,0,FADED,True
Raja Bell,0,FADED,0.608,0.23,0.162,HIGH,0,FADED,True
Mike Dunleavy,1,SURVIVED,0.302,0.537,0.161,MEDIUM,1,SURVIVED,True
Mike Miller,0,FADED,0.447,0.391,0.161,MEDIUM,0,FADED,True
Ruben Patterson,0,FADED,0.619,0.221,0.16,HIGH,0,FADED,True
Luke Ridnour,0,FADED,0.67,0.172,0.158,HIGH,0,FADED,True
Willie Green,0,FADED,0.65,0.192,0.158,HIGH,0,FADED,True
Damien Wilkins,0,FADED,0.525,0.318,0.157,MEDIUM,0,FADED,True
Anthony Carter,0,FADED,0.692,0.154,0.154,HIGH,0,FADED,True
Tracy McGrady,0,FADED,0.625,0.221,0.154,HIGH,0,FADED,True
Mark Blount,0,FADED,0.7,0.147,0.153,HIGH,0,FADED,True
Earl Watson,0,FADED,0.663,0.184,0.152,HIGH,0,FADED,True
Jannero Pargo,0,FADED,0.693,0.156,0.151,HIGH,0,FADED,True
Kelvin Cato,0,FADED,0.627,0.225,0.148,HIGH,0,FADED,True
Jason Williams,0,FADED,0.622,0.235,0.144,HIGH,0,FADED,True
Mehmet Okur,0,FADED,0.582,0.28,0.139,MEDIUM,0,FADED,True
Rasho Nesterovic,0,FADED,0.589,0.274,0.137,MEDIUM,0,FADED,True
Derek Anderson,0,FADED,0.746,0.117,0.137,HIGH,0,FADED,True
Marc Jackson,0,FADED,0.641,0.223,0.136,HIGH,0,FADED,True
Nazr Mohammed,1,SURVIVED,0.374,0.497,0.129,MEDIUM,1,SURVIVED,True
James Jones,0,FADED,0.689,0.185,0.127,HIGH,0,FADED,True
Devean George,0,FADED,0.775,0.098,0.127,HIGH,0,FADED,True
Steve Blake,0,FADED,0.505,0.37,0.125,MEDIUM,0,FADED,True
Antoine Walker,0,FADED,0.76,0.119,0.121,HIGH,0,FADED,True
Earl Boykins,0,FADED,0.593,0.286,0.121,MEDIUM,0,FADED,True
Matt Harpring,0,FADED,0.567,0.317,0.116,MEDIUM,0,FADED,True
Tim Thomas,0,FADED,0.793,0.092,0.115,HIGH,0,FADED,True
Francisco Garcia,0,FADED,0.771,0.119,0.11,HIGH,0,FADED,True
Darius Songaila,0,FADED,0.765,0.127,0.108,HIGH,0,FADED,True
Ira Newble,0,FADED,0.621,0.283,0.096,HIGH,0,FADED,True
Carlos Arroyo,0,FADED,0.838,0.071,0.091,HIGH,0,FADED,True
Keyon Dooling,0,FADED,0.828,0.081,0.091,HIGH,0,FADED,True
Desmond Mason,0,FADED,0.835,0.076,0.089,HIGH,0,FADED,True
Wally Szczerbiak,0,FADED,0.762,0.149,0.089,HIGH,0,FADED,True
Francisco Elson,0,FADED,0.787,0.125,0.088,HIGH,0,FADED,True
Ime Udoka,0,FADED,0.75,0.162,0.088,HIGH,0,FADED,True
Greg Buckner,0,FADED,0.777,0.136,0.087,HIGH,0,FADED,True
Bonzi Wells,0,FADED,0.796,0.118,0.087,HIGH,0,FADED,True
Brian Skinner,0,FADED,0.81,0.109,0.082,HIGH,0,FADED,True
Al Harrington,0,FADED,0.603,0.316,0.081,HIGH,0,FADED,True
Jacque Vaughn,0,FADED,0.769,0.151,0.08,HIGH,0,FADED,True
Scot Pollard,0,FADED,0.826,0.095,0.079,HIGH,0,FADED,True
Malik Rose,0,FADED,0.802,0.119,0.079,HIGH,0,FADED,True
Rasual Butler,0,FADED,0.816,0.111,0.073,HIGH,0,FADED,True
Dahntay Jones,0,FADED,0.767,0.161,0.072,HIGH,0,FADED,True
Shareef Abdur-Rahim,0,FADED,0.772,0.156,0.072,HIGH,0,FADED,True
Ryan Bowen,0,FADED,0.808,0.122,0.07,HIGH,0,FADED,True
Devin Brown,0,FADED,0.875,0.056,0.069,HIGH,0,FADED,True
Damon Jones,0,FADED,0.816,0.121,0.063,HIGH,0,FADED,True
Adonal Foyle,0,FADED,0.785,0.153,0.062,HIGH,0,FADED,True
Joel Przybilla,0,FADED,0.807,0.136,0.057,HIGH,0,FADED,True
DeShawn Stevenson,0,FADED,0.836,0.107,0.057,HIGH,0,FADED,True
Maurice Evans,0,FADED,0.737,0.208,0.055,HIGH,0,FADED,True
Quentin Richardson,0,FADED,0.863,0.084,0.053,HIGH,0,FADED,True
Morris Peterson,0,FADED,0.739,0.209,0.052,HIGH,0,FADED,True
Larry Hughes,0,FADED,0.798,0.15,0.052,HIGH,0,FADED,True
Lorenzen Wright,0,FADED,0.846,0.105,0.049,HIGH,0,FADED,True
Stephon Marbury,0,FADED,0.813,0.139,0.048,HIGH,0,FADED,True
Matt Carroll,0,FADED,0.895,0.062,0.043,HIGH,0,FADED,True
Andres Nocioni,0,FADED,0.889,0.069,0.042,HIGH,0,FADED,True
Tony Battie,0,FADED,0.847,0.111,0.042,HIGH,0,FADED,True
Will Solomon,0,FADED,0.866,0.095,0.039,HIGH,0,FADED,True
Ronald Murray,0,FADED,0.882,0.079,0.039,HIGH,0,FADED,True
Keith Van,0,FADED,0.82,0.142,0.038,HIGH,0,FADED,True
Marquis Daniels,0,FADED,0.845,0.122,0.033,HIGH,0,FADED,True
Vladimir Radmanovic,0,FADED,0.827,0.14,0.033,HIGH,0,FADED,True
Keith Bogans,0,FADED,0.812,0.156,0.032,HIGH,0,FADED,True
Sarunas Jasikevicius,0,FADED,0.879,0.09,0.031,HIGH,0,FADED,True
Dan Gadzuric,0,FADED,0.925,0.045,0.03,HIGH,0,FADED,True
Troy Hudson,0,FADED,0.914,0.057,0.029,HIGH,0,FADED,True
Jamaal Magloire,0,FADED,0.928,0.043,0.029,HIGH,0,FADED,True
Juan Dixon,0,FADED,0.924,0.051,0.026,HIGH,0,FADED,True
Michael Olowokandi,0,FADED,0.938,0.036,0.025,HIGH,0,FADED,True
Tyronn Lue,0,FADED,0.904,0.072,0.025,HIGH,0,FADED,True
Marko Jaric,0,FADED,0.935,0.043,0.022,HIGH,0,FADED,True
Walter McCarty,0,FADED,0.912,0.067,0.021,HIGH,0,FADED,True
Jared Jeffries,0,FADED,0.911,0.068,0.021,HIGH,0,FADED,True
Mark Madsen,0,FADED,0.946,0.033,0.02,HIGH,0,FADED,True
Jamario Moon,0,FADED,0.915,0.067,0.018,HIGH,0,FADED,True
Brian Scalabrine,0,FADED,0.903,0.08,0.017,HIGH,0,FADED,True
Gordan Giricek,0,FADED,0.936,0.049,0.016,HIGH,0,FADED,True
Malik Allen,0,FADED,0.955,0.03,0.015,HIGH,0,FADED,True
Trenton Hassell,0,FADED,0.962,0.029,0.009,HIGH,0,FADED,True
Charlie Bell,0,FADED,0.953,0.04,0.007,HIGH,0,FADED,True
